feature,coef,abs
log_days,0.23577953961985573,0.23577953961985573
in_apple_playlists,0.1535332209534728,0.1535332209534728
in_spotify_charts,0.08182019311290609,0.08182019311290609
in_spotify_playlists,0.08159732661507875,0.08159732661507875
danceability_%,0.0812810342245509,0.0812810342245509
valence_%,-0.053163194497990195,0.053163194497990195
artist_count,-0.03105337864202538,0.03105337864202538
in_apple_charts,0.028716223798590908,0.028716223798590908
in_deezer_playlists,-0.02770835464743552,0.02770835464743552
speechiness_%,-0.02400845230742561,0.02400845230742561
is_major,-0.022284445245953795,0.022284445245953795
energy_%,0.019685941776608987,0.019685941776608987
instrumentalness_%,-0.009106375561510595,0.009106375561510595
acousticness_%,0.005677817287123832,0.005677817287123832
in_deezer_charts,-0.004542966635512273,0.004542966635512273
liveness_%,0.001581059378978315,0.001581059378978315
bpm,0.001533079580591254,0.001533079580591254
