feature,importance
in_spotify_playlists,0.5900896513512994
log_days,0.08520942167567615
in_spotify_charts,0.0667718976346942
in_deezer_playlists,0.05428262600646917
in_deezer_charts,0.036334244493702636
in_apple_playlists,0.03402495209095894
danceability_%,0.03148880558692096
in_apple_charts,0.026809824735873917
valence_%,0.02001117824428579
bpm,0.01897472284305218
speechiness_%,0.009273918994468432
energy_%,0.008315184723443676
acousticness_%,0.00762821949509355
liveness_%,0.006893323256550947
artist_count,0.0020485675238006065
instrumentalness_%,0.0010837396381118086
is_major,0.0007597217055975635
