Song_Id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2000,Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992.0,0,0,0,0,0.0,92,A#,Minor,2023-04-07,71.0,41.0,31.0,79.0,0.0,10.0,5.0
2002,Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316.0,59,100,58,13,2.0,100,G,Major,2022-12-09,36.0,28.0,28.0,81.0,0.0,18.0,3.0
2010,The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590.0,1,6,11,0,0.0,96,F,Major,2022-10-21,57.0,55.0,,22.0,0.0,8.0,4.0
2011,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5.0,82,G#,Major,2023-07-07,51.0,22.0,,1.0,0.0,15.0,3.0
2012,Woman,Doja Cat,1,2021,6,25,9424,0,1329090101.0,202,50,463,4,,108,F,Minor,2021-06-25,82.0,88.0,76.0,,0.0,12.0,9.0
2018,Sem Aliana no,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665.0,6,1,21,0,1.0,83,C#,Major,2022-12-23,53.0,40.0,36.0,73.0,0.0,11.0,33.0
2020,When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451.0,75,11,44,0,14.0,147,F,Major,2022-03-31,60.0,58.0,69.0,2.0,0.0,58.0,4.0
2024,sentaDONA (Remix) s2,"Lusa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831.0,32,0,49,0,0.0,135,D#,Minor,2022-03-17,,77.0,45.0,25.0,0.0,13.0,27.0
2027,Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943.0,8,0,29,0,0.0,117,C#,Major,2022-02-04,92.0,62.0,86.0,11.0,0.0,24.0,24.0
2029,A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466.0,0,2,2,0,0.0,94,F,Minor,2022-01-07,46.0,55.0,50.0,71.0,0.0,10.0,11.0
2030,Pepas,Farruko,1,2021,6,24,14114,17,1309887447.0,252,109,965,20,,130,G,Major,2021-06-24,76.0,44.0,77.0,1.0,0.0,13.0,3.0
2034,Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745.0,42,1,26,0,0.0,120,C#,Minor,2022-02-04,84.0,54.0,51.0,47.0,0.0,12.0,40.0
2040,La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256.0,49,3,57,0,0.0,90,C#,Major,2022-07-06,85.0,80.0,83.0,10.0,0.0,8.0,11.0
2044,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323.0,124,G#,Minor,2023-03-03,,70.0,68.0,3.0,1.0,11.0,4.0
2047,Dream On,Aerosmith,1,1973,1,5,168,0,838586769.0,0,0,5,0,0.0,80,F,Minor,1973-01-05,39.0,24.0,43.0,39.0,0.0,23.0,3.0
2056,Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277.0,36,65,28,0,0.0,119,A,Minor,2023-04-21,60.0,10.0,,1.0,0.0,50.0,3.0
2057,Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168.0,150,F,Minor,2023-07-07,80.0,82.0,81.0,14.0,0.0,13.0,36.0
2064,Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004.0,10,24,11,0,0.0,130,C#,Major,2022-05-06,82.0,,67.0,12.0,0.0,13.0,5.0
2066,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632.0,14,88,66,3,72.0,160,A,Major,2023-02-02,69.0,61.0,71.0,33.0,0.0,31.0,20.0
2067,Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649.0,156,35,110,19,0.0,131,A#,Major,2021-12-03,,84.0,71.0,35.0,0.0,15.0,4.0
2068,MANIAC,Stray Kids,1,2022,3,18,651,0,212234990.0,6,188,20,0,0.0,120,C#,Major,2022-03-18,58.0,71.0,,15.0,0.0,7.0,41.0
2070,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,237351106.0,38,13,32,0,0.0,101,C#,Minor,2022-05-13,78.0,40.0,74.0,36.0,0.0,17.0,27.0
2071,Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.0,155,72,131,16,29.0,169,C#,Major,2022-06-29,,69.0,51.0,63.0,,38.0,4.0
2073,Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,2703,22,1451.0,116,D,Major,2015-06-22,95.0,83.0,57.0,54.0,0.0,10.0,25.0
2074,El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62.0,144,A,Minor,2023-02-10,56.0,84.0,65.0,23.0,0.0,10.0,6.0
2076,Selfish,PnB Rock,1,2016,6,23,2468,0,380319238.0,15,0,0,0,0.0,102,C#,Minor,2016-06-23,64.0,4.0,60.0,11.0,0.0,19.0,
2082,Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127,3,16.0,145,A#,Major,2022-10-21,84.0,88.0,53.0,35.0,,8.0,7.0
2086,Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418.0,24,47,74,0,0.0,94,,Major,2021-11-19,42.0,47.0,36.0,76.0,0.0,9.0,5.0
2089,psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209.0,24,0,52,0,0.0,180,G,Minor,2022-04-07,63.0,45.0,64.0,34.0,0.0,9.0,8.0
2090,BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266.0,49,1,67,11,1.0,100,C#,Major,2022-01-20,90.0,75.0,50.0,11.0,0.0,9.0,26.0
2095,TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100.0,125,F,Minor,2023-05-19,79.0,96.0,85.0,27.0,0.0,11.0,
2096,In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619.0,48,40,87,1,210.0,78,A#,Major,2022-04-29,36.0,30.0,,34.0,0.0,14.0,5.0
2098,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27.0,98,C#,Minor,2022-12-02,71.0,17.0,61.0,36.0,0.0,8.0,5.0
2102,Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6,6,202.0,158,A#,Major,2022-04-20,54.0,50.0,40.0,61.0,0.0,10.0,6.0
2103,august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61,1,44.0,90,F,Major,2020-07-24,51.0,42.0,61.0,53.0,0.0,9.0,3.0
2105,Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801,1,105.0,134,C#,Major,2018-03-29,45.0,17.0,60.0,21.0,0.0,33.0,4.0
2107,Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263.0,13,2,31,0,0.0,118,G,Major,2022-05-20,56.0,20.0,54.0,67.0,0.0,6.0,5.0
2118,STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845.0,51,1,50,0,0.0,130,E,Minor,2022-08-05,72.0,18.0,46.0,7.0,0.0,28.0,8.0
2121,Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600.0,21,55,32,3,0.0,94,G#,Major,2022-12-22,89.0,61.0,66.0,17.0,0.0,36.0,16.0
2125,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,1632,3,200.0,112,C#,Minor,2011-01-01,56.0,24.0,66.0,7.0,0.0,12.0,3.0
2127,La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8,479655659.0,8,25,18,1,0.0,196,B,Minor,2022-05-06,66.0,58.0,79.0,23.0,0.0,22.0,20.0
2129,Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1,1,18.0,134,G,Major,2022-08-16,70.0,35.0,41.0,41.0,0.0,10.0,3.0
2131,Miss You,Southstar,1,1982,5,16,2020,0,154356956.0,77,10,119,0,40.0,145,A,Major,1982-05-16,66.0,24.0,58.0,17.0,0.0,19.0,5.0
2133,Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832.0,10,22,3,0,0.0,92,B,Minor,2022-02-06,71.0,67.0,60.0,7.0,0.0,6.0,4.0
2144,Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0.0,95,F#,Minor,2010-07-20,80.0,71.0,69.0,2.0,0.0,27.0,10.0
2145,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667.0,23,82,6,0,113.0,134,B,Major,2023-05-26,,61.0,58.0,6.0,0.0,16.0,3.0
2146,All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19,0,5.0,96,D,Major,2019-08-23,72.0,40.0,47.0,71.0,0.0,13.0,4.0
2149,Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9,0,55.0,137,G#,Major,2023-04-24,77.0,35.0,88.0,16.0,0.0,17.0,9.0
2150,Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509.0,19,29,21,0,0.0,140,,Major,2022-10-21,64.0,18.0,37.0,72.0,0.0,12.0,7.0
2151,Yet To Come,BTS,1,2022,6,10,829,0,302006641.0,32,110,26,0,0.0,172,C#,Major,2022-06-10,56.0,68.0,89.0,4.0,0.0,33.0,19.0
2155,Tubaro Te,"Dj LK da Esccia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341.0,21,0,44,0,0.0,130,E,Minor,2022-09-28,89.0,48.0,74.0,30.0,0.0,7.0,36.0
2156,Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,0,473248298.0,126,108,406,0,0.0,143,D,Major,1950-01-01,60.0,86.0,32.0,88.0,0.0,34.0,6.0
2159,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154.0,131,D,Major,2022-09-22,71.0,24.0,47.0,1.0,0.0,27.0,9.0
2164,Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990.0,15,92,21,2,26.0,132,D,Major,2023-03-30,85.0,53.0,68.0,40.0,,9.0,4.0
2167,Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468.0,16,53,1,0,61.0,140,F#,Major,2022-05-06,53.0,51.0,70.0,49.0,0.0,14.0,3.0
2168,Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,313113297.0,7,21,11,0,0.0,142,,Major,2022-05-06,87.0,93.0,59.0,28.0,0.0,17.0,5.0
2175,Toxic,BoyWithUke,1,2021,9,10,1795,0,582981380.0,34,23,118,0,,180,G#,Minor,2021-09-10,59.0,69.0,61.0,84.0,0.0,46.0,36.0
2176,Oh My God,Adele,1,2021,11,19,4431,0,466214729.0,105,7,199,0,0.0,88,C#,Major,2021-11-19,53.0,55.0,73.0,9.0,0.0,3.0,5.0
2178,LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549.0,28,57,43,8,85.0,92,F,Minor,2022-04-01,76.0,46.0,79.0,31.0,0.0,7.0,6.0
2183,Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133.0,250,121,2969,10,31.0,125,A#,Minor,2017-01-31,77.0,74.0,78.0,4.0,0.0,23.0,11.0
2186,Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992.0,3,7,10,0,0.0,112,G#,Major,2022-12-02,80.0,15.0,54.0,9.0,0.0,38.0,5.0
2187,Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774.0,21,0,386,0,,80,G#,Major,1995-07-11,63.0,40.0,61.0,9.0,0.0,56.0,6.0
2188,Calm Down,Rï,1,2022,2,9,4013,10,445763624.0,107,44,750,22,,107,B,Major,2022-02-09,81.0,82.0,78.0,38.0,0.0,12.0,4.0
2197,Good Days,SZA,1,2020,12,24,10426,2,826623384.0,133,109,182,1,10.0,121,C#,Minor,2020-12-24,46.0,53.0,78.0,23.0,0.0,72.0,6.0
2212,Hype Boy,NewJeans,1,2022,8,1,892,17,363472647.0,20,119,12,2,7.0,100,E,Minor,2022-08-01,59.0,78.0,94.0,27.0,0.0,29.0,23.0
2215,Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618.0,118,116,96,0,3.0,168,C#,Major,2021-09-03,67.0,29.0,47.0,,0.0,22.0,26.0
2216,Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111.0,188,34,710,0,5.0,84,B,Minor,2017-06-15,44.0,22.0,48.0,38.0,0.0,33.0,24.0
2218,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37.0,133,F,Major,2023-02-03,70.0,86.0,81.0,25.0,0.0,25.0,5.0
2219,Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964.0,15,93,30,0,320.0,120,D,Major,2023-02-24,77.0,94.0,66.0,65.0,0.0,38.0,3.0
2222,Agudo Mgi,"Styrx, utku INC, Thezth",3,1930,1,1,323,0,90598517.0,4,0,14,0,0.0,130,F#,Minor,1930-01-01,65.0,49.0,80.0,22.0,4.0,7.0,5.0
2226,ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388.0,37,2,38,2,0.0,110,C#,Major,2022-06-16,91.0,59.0,82.0,,,6.0,8.0
2228,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,0,295998468.0,89,39,158,0,0.0,113,G,Major,1958-01-01,73.0,72.0,32.0,77.0,0.0,15.0,5.0
2231,Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690.0,4,113,20,0,1.0,130,D,Minor,2022-02-11,51.0,50.0,76.0,30.0,0.0,10.0,7.0
2232,Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5,295152154.0,15,79,4,2,0.0,136,,Major,2022-08-15,77.0,71.0,75.0,33.0,1.0,13.0,4.0
2234,Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628.0,5,0,862,0,0.0,146,C#,Minor,2010-10-04,52.0,7.0,61.0,51.0,0.0,11.0,3.0
2239,Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,0,242767149.0,121,58,212,0,0.0,126,D#,Major,1963-11-22,34.0,35.0,76.0,39.0,0.0,8.0,5.0
2242,Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953.0,162,116,355,7,0.0,176,D,Major,2019-05-31,61.0,24.0,62.0,,0.0,24.0,31.0
2244,Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336.0,108,16,197,3,165.0,145,F#,Minor,2022-08-05,59.0,20.0,74.0,1.0,0.0,15.0,5.0
2249,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,1034,37,312.0,116,C#,Major,2017-11-10,80.0,92.0,,4.0,0.0,10.0,3.0
2250,Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927.0,265,121,12367,4,160.0,117,C#,Major,1991-09-10,52.0,73.0,91.0,0.0,0.0,11.0,7.0
2251,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,11,163,10,4,0.0,140,F,Minor,2023-06-22,65.0,87.0,,22.0,0.0,42.0,
2252,Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932.0,228,105,2453,0,84.0,108,E,Major,2014-06-20,61.0,20.0,38.0,61.0,0.0,10.0,
2255,Shirt,SZA,1,2022,10,28,3469,0,309653982.0,71,95,31,0,2.0,120,D#,Minor,2022-10-28,64.0,80.0,88.0,0.0,0.0,12.0,6.0
2258,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2028,6,2,259,0,37126685.0,5,17,5,0,0.0,135,A,Minor,2028-06-02,70.0,97.0,62.0,47.0,0.0,10.0,
2261,Memories,Maroon 5,1,2019,9,20,9974,2,1759567999.0,272,67,1066,1,19.0,91,B,Major,2019-09-20,77.0,60.0,32.0,84.0,0.0,8.0,5.0
